1,Giáp Tý,Vàng trong biển (Kim),"Mậu Ngọ, Nhâm Ngọ, Canh Dần, Canh Thân"
2,Ất Sửu,,"Kỷ Mùi, Quý Mùi, Tân Mão, Tân Dậu"
3,Bính Dần,Lửa trong lò (Hỏa),"Giáp Thân, Nhâm Thân, Nhâm Tuất, Nhâm Thìn"
4,Ðinh Mão,,"Ất Dậu, Quý Dậu, Quý Tỵ, Quý Hợi"
5,Mậu Thìn,Gỗ trong rừng (Mộc),"Canh Tuất, Bính Tuất"
6,Kỷ Tỵ,,"Tân Hợi, Đinh Hợi"
7,Canh Ngọ,Ðất ven đường (Thổ),"Nhâm Tý, Bính Tý, Giáp Thân, Giáp Dần"
8,Tân Mùi,,"Quý Sửu, Đinh Sửu, Ất Dậu, Ất Mão"
9,Nhâm Thân,Sắt đầu kiếm (Kim),"Bính Dần, Canh Dần, Bính Thân"
10,Quý Dậu,,"Ðinh Mão, Tân Mão, Đinh Dậu"
11,Giáp Tuất,Lửa trên đỉnh núi (Hỏa),"Nhâm Thìn, Canh Thìn, Canh Tuất"
12,Ất Hợi,,"Quý Tỵ, Tân Tỵ, Tân Hợi"
13,Bính Tý,Nước dưới lạch (Thủy),"Canh Ngọ, Mậu Ngọ"
14,Ðinh Sửu,,"Tân Mùi, Kỷ Mùi"
15,Mậu Dần,Ðất đầu thành (Thổ),"Canh Thân, Giáp Thân"
16,Kỷ Mão,,"Tân Dậu, Ất Dậu"
17,Canh Thìn,Kim bạch lạp (Kim),"Giáp Tuất, Mậu Tuất, Giáp Thìn"
18,Tân Tỵ,,"Ất Hợi, Kỷ Hợi, Ất Tỵ"
19,Nhâm Ngọ,Gỗ dương liễu (Mộc),"Giáp Tý, Canh Tý, Bính Tuất, Bính Thìn"
20,Quý Mùi,,"Ất Sửu, Tân Sửu, Đinh Hợi, Đinh Tỵ"
21,Giáp Thân,Nước trong khe (Thủy),"Mậu Dần, Bính Dần, Canh Ngọ, Canh Tý"
22,Ất Dậu,,"Kỷ Mão, Đinh Mão, Tân Mùi, Tân Sửu"
23,Bính Tuất,Ðất trên mái nhà (Thổ),"Mậu Thìn, Nhâm Thìn, Nhâm Ngọ, Nhâm Tý"
24,Ðinh Hợi,,"Kỷ Tỵ, Quý Tỵ, Quí Mùi, Quý Sửu"
25,Mậu Tý,Lửa trong chớp (Hỏa ),"Bính Ngọ, Giáp Ngọ"
26,Kỷ Sửu,,"Ðinh Mùi, Ất Mùi"
27,Canh Dần,Gỗ tùng bách (Mộc),"Nhâm Thân, Mậu Thân, Giáp Tý, Giáp Ngọ"
28,Tân Mão,,"Quý Dậu, Kỷ Dậu, Ất Sửu, Ất Mùi"
29,Nhâm Thìn,Nước giữa dòng (Thủy),"Bính Tuất, Giáp Tuất, Bính Dần"
30,Quý Tỵ,,"Ðinh Hợi, Ất Hợi, Đinh Mão"
31,Giáp Ngọ,Vàng trong cát (Kim),"Mậu Tý, Nhâm Tý, Canh Dần, Nhâm Dần"
32,Ất Mùi,,"Kỷ Sửu, Quý Sửu, Tân Mão, Tân Dậu"
33,Bính Thân,Lửa chân núi (Hỏa),"Giáp Dần, Nhâm Thân, Nhâm Tuất, Nhâm Thìn"
34,Ðinh Dậu,,"Ất Mão, Quý Mão, Quý Tỵ, Quý Hợi"
35,Mậu Tuất,Gỗ đồng bằng (Mộc),"Canh Thìn, Bính Thìn"
36,Kỷ Hợi,,"Tân Tỵ, Đinh Tỵ"
37,Canh Tý,Ðất trên vách (Thổ),"Nhâm Ngọ, Bính Ngọ, Giáp Thân, Giáp Dần"
38,Tân Sửu,,"Quý Mùi, Đinh Mùi, Ất Dậu, Ất Mão"
39,Nhâm Dần,Bạch kim (Kim),"Canh Thân, Bính Thân, Bính Dần"
40,Quý Mão,,"Tân Dậu, Đinh Dậu, Đinh Mão"
41,Giáp Thìn,Lửa đèn (Hỏa),"Nhâm Tuất, Canh Tuất, Canh Thìn"
42,Ất Tỵ,,"Quý Hợi, Tân Hợi, Tân Tỵ"
43,Bính Ngọ,Nước trên trời (Thủy),"Mậu Tý, Canh Tý"
44,Ðinh Mùi,,"Kỷ Sửu, Tân Sửu"
45,Mậu Thân,Ðất vườn rộng (Thổ),"Canh Dần, Giáp Dần"
46,Kỷ Dậu,,"Tân Mão, Ất Mão"
47,Canh Tuất,Vàng trang sức (Kim),"Giáp Thìn, Mậu Thìn, Giáp Tuất"
48,Tân Hợi,,"Ất Tỵ, Kỷ Tỵ, Ất Hợi"
49,Nhâm Tý,Gỗ dâu (Mộc),"Giáp Ngọ, Canh Ngọ, Bính Tuất, Bíkỷnh Thìn"
50,Quý Sửu,,"Ất Mùi, Tân Mùi, Đinh Hợi, Đinh Tỵ"
51,Giáp Dần,Nước giữa khe lớn (Thủy),"Mậu Thân, Bính Thân, Canh Ngọ, Canh Tý"
52,Ất Mão,,"Kỷ Dậu, Đinh Dậu, Tân Mùi, Tân Sửu"
53,Bính Thìn,Ðất trong cát (Thổ),"Mậu Tuất, Nhâm Tuất, Nhâm Ngọ, Nhâm Tý"
54,Ðinh Tỵ,,"Kỷ Hợi, Quý Hợi, Quý Sửu, Quý Mùi"
55,Mậu Ngọ,Lửa trên trời (Hỏa),"Bính Tý, Giáp Tý"
56,Kỷ Mùi,,"Ðinh Sửu, Ất Sửu"
57,Canh Thân,Gỗ thạch lựu (Mộc),"Nhâm Dần, Mậu Dần, Giáp Tý, Giáp Ngọ"
58,Tân Dậu,,"Quý Mão, Kỷ Mão, Ất Sửu, Ất Mùi"
59,Nhâm Tuất,Nước giữa biển (Thủy),"Bính Thìn, Giáp Thìn, Bính Thân, Bính Dần"
60,Quý Hợi,,"Ðinh Tỵ, Ất Tỵ, Đinh Mão, Đinh Dậu"
